review_id,order_id,customer_id,restaurant_id,rating,review_text,sentiment,review_timestamp
REV000001,O032199,C04179,R0067,3,The food was acceptable.,Neutral,2026-06-03 01:00:00
REV000002,O017914,C02573,R0219,3,The order was delayed for a long time.,Negative,2026-05-04 20:00:00
REV000003,O028749,C01213,R0202,5,Really tasty food with generous portions.,Positive,2026-04-12 18:00:00
REV000004,O001863,C01760,R0145,5,The delivery was very late.,Negative,2026-02-15 02:00:00
REV000005,O038281,C03758,R0278,5,Really tasty food with generous portions.,Positive,2026-06-28 08:00:00
REV000006,O006382,C01522,R0121,4,Amazing food and excellent quality.,Positive,2026-04-26 20:00:00
REV000007,O012010,C00299,R0099,5,Everything was perfect and well packed.,Positive,2026-06-17 12:00:00
REV000008,O025826,C04136,R0253,4,Great quality and very good service.,Positive,2026-07-02 02:00:00
REV000009,O004582,C01295,R0251,3,Food quality was average.,Neutral,2026-01-26 20:00:00
REV000010,O004491,C04803,R0131,5,The food was fresh and flavorful.,Positive,2026-04-26 10:00:00
REV000011,O022846,C04103,R0213,3,The packaging was damaged.,Negative,2026-01-31 14:00:00
REV000012,O036904,C03011,R0046,2,The food was bland and disappointing.,Negative,2026-05-17 01:00:00
REV000013,O032636,C03265,R0027,5,The food was delicious and fresh.,Positive,2026-03-01 01:00:00
REV000014,O025933,C01658,R0145,2,The food was cold and the delivery was late.,Negative,2026-01-12 03:00:00
REV000015,O000564,C02101,R0149,5,The food was fresh and flavorful.,Positive,2026-04-30 17:00:00
REV000016,O007003,C02295,R0289,5,Great quality and very good service.,Positive,2026-06-17 11:00:00
REV000017,O020444,C02572,R0093,2,The food was bland and disappointing.,Negative,2026-06-18 07:00:00
REV000018,O014104,C02727,R0123,5,The food was fresh and flavorful.,Positive,2026-02-15 14:00:00
REV000019,O015712,C03951,R0071,5,Excellent experience from start to finish.,Positive,2026-04-13 05:00:00
REV000020,O016296,C01882,R0075,4,Fast delivery and great packaging.,Positive,2026-02-09 18:00:00
REV000021,O013624,C03000,R0104,5,The food was fresh and flavorful.,Positive,2026-05-18 11:00:00
REV000022,O013497,C02273,R0213,1,Very poor experience with the delivery.,Negative,2026-05-06 20:00:00
REV000023,O007867,C04451,R0246,5,Fast delivery and great packaging.,Positive,2026-03-06 14:00:00
REV000024,O033274,C03763,R0234,3,Average experience.,Neutral,2026-04-10 23:00:00
REV000025,O025482,C02972,R0176,5,The food was delicious and fresh.,Positive,2026-01-10 05:00:00
REV000026,O015742,C03938,R0137,5,Delivery was fast and the food arrived hot.,Positive,2026-05-27 12:00:00
REV000027,O016853,C02120,R0082,5,The order arrived quickly and everything was hot.,Positive,2026-01-24 03:00:00
REV000028,O038194,C02327,R0060,4,The food was delicious and fresh.,Positive,2026-02-09 19:00:00
REV000029,O018205,C01561,R0246,1,I received the wrong item.,Negative,2026-05-01 17:00:00
REV000030,O018592,C00745,R0197,4,The order was delayed for a long time.,Negative,2026-01-25 12:00:00
