review_id,order_id,customer_id,restaurant_id,rating,review_text,sentiment,review_timestamp,cleaned_review
REV000001,O032199,C04179,R0067,3,The food was acceptable.,Neutral,2026-06-03 01:00:00,food acceptable
REV000002,O017914,C02573,R0219,3,The order was delayed for a long time.,Negative,2026-05-04 20:00:00,order delayed long time
REV000003,O028749,C01213,R0202,5,Really tasty food with generous portions.,Positive,2026-04-12 18:00:00,really tasty food generous portion
REV000004,O001863,C01760,R0145,5,The delivery was very late.,Negative,2026-02-15 02:00:00,delivery late
REV000005,O038281,C03758,R0278,5,Really tasty food with generous portions.,Positive,2026-06-28 08:00:00,really tasty food generous portion
REV000006,O006382,C01522,R0121,4,Amazing food and excellent quality.,Positive,2026-04-26 20:00:00,amazing food excellent quality
REV000007,O012010,C00299,R0099,5,Everything was perfect and well packed.,Positive,2026-06-17 12:00:00,everything perfect well packed
REV000008,O025826,C04136,R0253,4,Great quality and very good service.,Positive,2026-07-02 02:00:00,great quality good service
REV000009,O004582,C01295,R0251,3,Food quality was average.,Neutral,2026-01-26 20:00:00,food quality average
REV000010,O004491,C04803,R0131,5,The food was fresh and flavorful.,Positive,2026-04-26 10:00:00,food fresh flavorful
REV000011,O022846,C04103,R0213,3,The packaging was damaged.,Negative,2026-01-31 14:00:00,packaging damaged
REV000012,O036904,C03011,R0046,2,The food was bland and disappointing.,Negative,2026-05-17 01:00:00,food bland disappointing
REV000013,O032636,C03265,R0027,5,The food was delicious and fresh.,Positive,2026-03-01 01:00:00,food delicious fresh
REV000014,O025933,C01658,R0145,2,The food was cold and the delivery was late.,Negative,2026-01-12 03:00:00,food cold delivery late
REV000015,O000564,C02101,R0149,5,The food was fresh and flavorful.,Positive,2026-04-30 17:00:00,food fresh flavorful
REV000016,O007003,C02295,R0289,5,Great quality and very good service.,Positive,2026-06-17 11:00:00,great quality good service
REV000017,O020444,C02572,R0093,2,The food was bland and disappointing.,Negative,2026-06-18 07:00:00,food bland disappointing
REV000018,O014104,C02727,R0123,5,The food was fresh and flavorful.,Positive,2026-02-15 14:00:00,food fresh flavorful
REV000019,O015712,C03951,R0071,5,Excellent experience from start to finish.,Positive,2026-04-13 05:00:00,excellent experience start finish
REV000020,O016296,C01882,R0075,4,Fast delivery and great packaging.,Positive,2026-02-09 18:00:00,fast delivery great packaging
REV000021,O013624,C03000,R0104,5,The food was fresh and flavorful.,Positive,2026-05-18 11:00:00,food fresh flavorful
REV000022,O013497,C02273,R0213,1,Very poor experience with the delivery.,Negative,2026-05-06 20:00:00,poor experience delivery
REV000023,O007867,C04451,R0246,5,Fast delivery and great packaging.,Positive,2026-03-06 14:00:00,fast delivery great packaging
REV000024,O033274,C03763,R0234,3,Average experience.,Neutral,2026-04-10 23:00:00,average experience
REV000025,O025482,C02972,R0176,5,The food was delicious and fresh.,Positive,2026-01-10 05:00:00,food delicious fresh
REV000026,O015742,C03938,R0137,5,Delivery was fast and the food arrived hot.,Positive,2026-05-27 12:00:00,delivery fast food arrived hot
REV000027,O016853,C02120,R0082,5,The order arrived quickly and everything was hot.,Positive,2026-01-24 03:00:00,order arrived quickly everything hot
REV000028,O038194,C02327,R0060,4,The food was delicious and fresh.,Positive,2026-02-09 19:00:00,food delicious fresh
REV000029,O018205,C01561,R0246,1,I received the wrong item.,Negative,2026-05-01 17:00:00,received wrong item
REV000030,O018592,C00745,R0197,4,The order was delayed for a long time.,Negative,2026-01-25 12:00:00,order delayed long time
REV000031,O039661,C03680,R0057,4,Amazing food and excellent quality.,Positive,2026-03-11 11:00:00,amazing food excellent quality
REV000032,O031462,C03699,R0239,5,Amazing food and excellent quality.,Positive,2026-03-01 05:00:00,amazing food excellent quality
REV000033,O016225,C01908,R0189,5,Amazing food and excellent quality.,Positive,2026-06-02 23:00:00,amazing food excellent quality
REV000034,O036295,C01281,R0059,4,The food was delicious and fresh.,Positive,2026-01-14 17:00:00,food delicious fresh
REV000035,O000975,C02423,R0299,1,The food was cold and the delivery was late.,Negative,2026-01-22 13:00:00,food cold delivery late
REV000036,O020588,C02068,R0098,4,The food was fresh and flavorful.,Positive,2026-05-10 13:00:00,food fresh flavorful
REV000037,O011218,C04978,R0171,4,The food was fresh and flavorful.,Positive,2026-05-28 23:00:00,food fresh flavorful
REV000038,O035400,C03904,R0251,5,Amazing food and excellent quality.,Positive,2026-06-11 05:00:00,amazing food excellent quality
REV000039,O025190,C02852,R0100,3,The order was okay overall.,Neutral,2026-02-21 13:00:00,order okay overall
REV000040,O009145,C00250,R0126,3,It was an ordinary experience.,Neutral,2026-05-23 09:00:00,ordinary experience
REV000041,O048667,C04495,R0082,4,The food was delicious and fresh.,Positive,2026-05-05 17:00:00,food delicious fresh
REV000042,O035286,C01704,R0148,4,Excellent experience from start to finish.,Positive,2026-04-18 20:00:00,excellent experience start finish
REV000043,O022674,C01748,R0299,4,Excellent experience from start to finish.,Positive,2026-06-14 11:00:00,excellent experience start finish
REV000044,O007726,C01805,R0247,5,Amazing food and excellent quality.,Positive,2026-06-04 09:00:00,amazing food excellent quality
REV000045,O002604,C03189,R0202,4,The order arrived quickly and everything was hot.,Positive,2026-01-15 14:00:00,order arrived quickly everything hot
REV000046,O034922,C01659,R0103,3,The food was okay.,Neutral,2026-05-11 04:00:00,food okay
REV000047,O030361,C00183,R0156,4,Great quality and very good service.,Positive,2026-05-30 02:00:00,great quality good service
REV000048,O012894,C02490,R0290,4,Everything was perfect and well packed.,Positive,2026-06-03 21:00:00,everything perfect well packed
REV000049,O039972,C03573,R0075,4,Excellent experience from start to finish.,Positive,2026-03-31 20:00:00,excellent experience start finish
REV000050,O006640,C00467,R0018,4,Excellent experience from start to finish.,Positive,2026-02-04 04:00:00,excellent experience start finish
REV000051,O000991,C04225,R0004,4,The food was delicious and fresh.,Positive,2026-02-04 20:00:00,food delicious fresh
REV000052,O014989,C02038,R0299,3,Everything was perfect and well packed.,Positive,2026-04-17 19:00:00,everything perfect well packed
REV000053,O024694,C00725,R0222,3,The food was decent.,Neutral,2026-04-13 16:00:00,food decent
REV000054,O036176,C03277,R0238,1,The packaging was damaged.,Negative,2026-02-04 13:00:00,packaging damaged
REV000055,O022980,C01953,R0002,5,The food was fresh and flavorful.,Positive,2026-05-30 08:00:00,food fresh flavorful
REV000056,O041534,C01250,R0230,4,The food was fresh and flavorful.,Positive,2026-02-28 21:00:00,food fresh flavorful
REV000057,O048341,C03664,R0193,4,Amazing food and excellent quality.,Positive,2026-06-17 10:00:00,amazing food excellent quality
REV000058,O010688,C01440,R0035,3,It was an ordinary experience.,Neutral,2026-02-21 10:00:00,ordinary experience
REV000059,O048802,C01834,R0177,4,Great quality and very good service.,Positive,2026-02-14 03:00:00,great quality good service
REV000060,O022806,C00546,R0270,5,The food was bland and disappointing.,Negative,2026-02-25 22:00:00,food bland disappointing
REV000061,O018481,C01676,R0153,2,I received the wrong item.,Negative,2026-04-12 12:00:00,received wrong item
REV000062,O010451,C01223,R0146,5,The order arrived quickly and everything was hot.,Positive,2026-02-05 04:00:00,order arrived quickly everything hot
REV000063,O023820,C03175,R0065,5,The food was fresh and flavorful.,Positive,2026-06-02 21:00:00,food fresh flavorful
REV000064,O009007,C03024,R0171,5,Fast delivery and great packaging.,Positive,2026-01-29 13:00:00,fast delivery great packaging
REV000065,O005669,C03830,R0300,1,The order was delayed for a long time.,Negative,2026-05-16 04:00:00,order delayed long time
REV000066,O028719,C04562,R0248,5,The order arrived quickly and everything was hot.,Positive,2026-05-20 13:00:00,order arrived quickly everything hot
REV000067,O037260,C02477,R0051,5,Everything was perfect and well packed.,Positive,2026-06-08 07:00:00,everything perfect well packed
REV000068,O036418,C04875,R0064,2,My order was missing an item.,Negative,2026-04-04 14:00:00,order missing item
REV000069,O013858,C02457,R0038,4,Delivery was fast and the food arrived hot.,Positive,2026-06-29 22:00:00,delivery fast food arrived hot
REV000070,O031826,C04223,R0125,5,The food was delicious and fresh.,Positive,2026-04-06 14:00:00,food delicious fresh
REV000071,O034627,C00061,R0083,5,Excellent experience from start to finish.,Positive,2026-06-19 10:00:00,excellent experience start finish
REV000072,O040943,C01204,R0064,4,Great quality and very good service.,Positive,2026-01-20 12:00:00,great quality good service
REV000073,O020366,C04336,R0128,1,The food was cold and the delivery was late.,Negative,2026-05-18 22:00:00,food cold delivery late
REV000074,O042323,C00279,R0012,3,The food was decent.,Neutral,2026-03-16 03:00:00,food decent
REV000075,O022473,C03170,R0273,2,I received the wrong item.,Negative,2026-02-07 19:00:00,received wrong item
REV000076,O005300,C01834,R0205,2,The order took too long to arrive.,Negative,2026-06-07 23:00:00,order took long arrive
REV000077,O009221,C03152,R0204,5,The delivery was very late.,Negative,2026-05-27 11:00:00,delivery late
REV000078,O032349,C00927,R0042,5,Really tasty food with generous portions.,Positive,2026-05-01 11:00:00,really tasty food generous portion
REV000079,O046715,C04285,R0051,4,Delivery was fast and the food arrived hot.,Positive,2026-01-27 21:00:00,delivery fast food arrived hot
REV000080,O043715,C01609,R0161,4,The food was delicious and fresh.,Positive,2026-03-06 09:00:00,food delicious fresh
REV000081,O018478,C03763,R0063,4,The food was delicious and fresh.,Positive,2026-03-17 14:00:00,food delicious fresh
REV000082,O046536,C03007,R0201,1,The food was cold and the delivery was late.,Negative,2026-03-10 01:00:00,food cold delivery late
REV000083,O045546,C00021,R0214,3,Average experience.,Neutral,2026-06-16 13:00:00,average experience
REV000084,O044031,C02669,R0059,5,Delivery was fast and the food arrived hot.,Positive,2026-05-18 07:00:00,delivery fast food arrived hot
REV000085,O039277,C04271,R0214,2,The delivery was very late.,Negative,2026-05-28 21:00:00,delivery late
REV000086,O007435,C02766,R0213,5,Amazing food and excellent quality.,Positive,2026-05-10 15:00:00,amazing food excellent quality
REV000087,O034840,C01916,R0228,4,The food arrived cold.,Negative,2026-01-25 07:00:00,food arrived cold
REV000088,O038889,C00094,R0290,1,The packaging was damaged.,Negative,2026-03-17 11:00:00,packaging damaged
REV000089,O036343,C04229,R0120,5,Excellent experience from start to finish.,Positive,2026-04-12 13:00:00,excellent experience start finish
REV000090,O013289,C02410,R0150,2,The delivery was very late.,Negative,2026-02-06 18:00:00,delivery late
REV000091,O035771,C04554,R0172,2,I received the wrong item.,Negative,2026-02-16 20:00:00,received wrong item
REV000092,O017475,C00761,R0080,2,My order was missing an item.,Negative,2026-05-31 22:00:00,order missing item
REV000093,O007891,C00475,R0237,5,The food was fresh and flavorful.,Positive,2026-02-20 14:00:00,food fresh flavorful
REV000094,O049506,C02523,R0058,4,Excellent experience from start to finish.,Positive,2026-06-14 03:00:00,excellent experience start finish
REV000095,O010113,C04250,R0126,5,Fast delivery and great packaging.,Positive,2026-03-15 22:00:00,fast delivery great packaging
REV000096,O025551,C04864,R0241,4,Amazing food and excellent quality.,Positive,2026-02-09 08:00:00,amazing food excellent quality
REV000097,O005057,C01995,R0024,1,The order took too long to arrive.,Negative,2026-05-06 14:00:00,order took long arrive
REV000098,O001034,C02452,R0102,5,Great quality and very good service.,Positive,2026-03-24 23:00:00,great quality good service
REV000099,O033566,C00969,R0100,5,Really tasty food with generous portions.,Positive,2026-04-26 14:00:00,really tasty food generous portion
REV000100,O031554,C02129,R0295,5,Fast delivery and great packaging.,Positive,2026-06-18 05:00:00,fast delivery great packaging
REV000101,O002274,C00325,R0164,4,Excellent experience from start to finish.,Positive,2026-04-05 17:00:00,excellent experience start finish
REV000102,O006987,C04325,R0022,4,The food was delicious and fresh.,Positive,2026-02-23 12:00:00,food delicious fresh
REV000103,O040446,C03768,R0165,5,Delivery was fast and the food arrived hot.,Positive,2026-04-28 00:00:00,delivery fast food arrived hot
REV000104,O038421,C03651,R0268,5,Delivery was fast and the food arrived hot.,Positive,2026-05-08 07:00:00,delivery fast food arrived hot
REV000105,O025683,C02640,R0060,4,Amazing food and excellent quality.,Positive,2026-05-02 21:00:00,amazing food excellent quality
REV000106,O046969,C04466,R0184,4,Delivery was fast and the food arrived hot.,Positive,2026-06-18 06:00:00,delivery fast food arrived hot
REV000107,O046839,C03320,R0172,3,The order was okay overall.,Neutral,2026-02-21 21:00:00,order okay overall
REV000108,O018678,C00172,R0267,3,The food was okay.,Neutral,2026-02-16 22:00:00,food okay
REV000109,O041241,C02513,R0225,5,Delivery was fast and the food arrived hot.,Positive,2026-02-22 17:00:00,delivery fast food arrived hot
REV000110,O003001,C04650,R0182,3,The order was okay overall.,Neutral,2026-03-20 10:00:00,order okay overall
REV000111,O015859,C01264,R0022,4,Really tasty food with generous portions.,Positive,2026-02-24 08:00:00,really tasty food generous portion
REV000112,O040644,C04648,R0167,5,Fast delivery and great packaging.,Positive,2026-02-14 08:00:00,fast delivery great packaging
REV000113,O032188,C01460,R0118,4,The order arrived quickly and everything was hot.,Positive,2026-03-20 02:00:00,order arrived quickly everything hot
REV000114,O041575,C04596,R0163,4,Everything was perfect and well packed.,Positive,2026-05-22 11:00:00,everything perfect well packed
REV000115,O048956,C00892,R0246,1,Very poor experience with the delivery.,Negative,2026-05-26 21:00:00,poor experience delivery
REV000116,O025091,C01204,R0110,2,My order was missing an item.,Negative,2026-06-08 06:00:00,order missing item
REV000117,O025400,C01751,R0085,5,Great quality and very good service.,Positive,2026-05-27 11:00:00,great quality good service
REV000118,O047315,C03315,R0154,5,Delivery was fast and the food arrived hot.,Positive,2026-01-19 09:00:00,delivery fast food arrived hot
REV000119,O046741,C03345,R0241,4,Excellent experience from start to finish.,Positive,2026-02-15 22:00:00,excellent experience start finish
REV000120,O038765,C03066,R0150,2,The food was cold and the delivery was late.,Negative,2026-04-20 04:00:00,food cold delivery late
REV000121,O020279,C04712,R0082,4,The order arrived quickly and everything was hot.,Positive,2026-05-23 12:00:00,order arrived quickly everything hot
REV000122,O014806,C02209,R0089,5,Great quality and very good service.,Positive,2026-06-18 01:00:00,great quality good service
REV000123,O017215,C04438,R0263,1,My order was missing an item.,Negative,2026-02-13 07:00:00,order missing item
REV000124,O021564,C02941,R0050,5,The food was fresh and flavorful.,Positive,2026-01-19 21:00:00,food fresh flavorful
REV000125,O041138,C02662,R0047,4,Excellent experience from start to finish.,Positive,2026-03-15 06:00:00,excellent experience start finish
REV000126,O032860,C02383,R0115,3,Average experience.,Neutral,2026-05-31 18:00:00,average experience
REV000127,O017071,C03906,R0300,5,The food was fresh and flavorful.,Positive,2026-01-15 18:00:00,food fresh flavorful
REV000128,O044722,C01600,R0055,5,Excellent experience from start to finish.,Positive,2026-05-17 23:00:00,excellent experience start finish
REV000129,O008462,C02735,R0074,5,Amazing food and excellent quality.,Positive,2026-03-26 12:00:00,amazing food excellent quality
REV000130,O004535,C04615,R0211,5,Fast delivery and great packaging.,Positive,2026-01-06 04:00:00,fast delivery great packaging
REV000131,O049194,C01781,R0114,4,Delivery was fast and the food arrived hot.,Positive,2026-06-02 10:00:00,delivery fast food arrived hot
REV000132,O021851,C00319,R0157,4,My order was missing an item.,Negative,2026-02-23 14:00:00,order missing item
REV000133,O011602,C01519,R0030,4,Amazing food and excellent quality.,Positive,2026-06-12 16:00:00,amazing food excellent quality
REV000134,O042026,C04601,R0122,2,I received the wrong item.,Negative,2026-05-30 22:00:00,received wrong item
REV000135,O003508,C02865,R0201,5,The order arrived quickly and everything was hot.,Positive,2026-04-21 17:00:00,order arrived quickly everything hot
REV000136,O019957,C02276,R0007,5,Fast delivery and great packaging.,Positive,2026-04-19 17:00:00,fast delivery great packaging
REV000137,O030688,C01167,R0066,5,Everything was perfect and well packed.,Positive,2026-01-14 01:00:00,everything perfect well packed
REV000138,O037251,C04663,R0173,4,The food was fresh and flavorful.,Positive,2026-05-11 13:00:00,food fresh flavorful
REV000139,O014286,C04740,R0259,2,My order was missing an item.,Negative,2026-05-08 07:00:00,order missing item
REV000140,O034337,C04855,R0010,4,The order arrived quickly and everything was hot.,Positive,2026-06-06 11:00:00,order arrived quickly everything hot
REV000141,O029726,C01025,R0058,3,Average experience.,Neutral,2026-01-27 03:00:00,average experience
REV000142,O016506,C00280,R0209,5,The food arrived cold.,Negative,2026-01-05 03:00:00,food arrived cold
REV000143,O004651,C01651,R0135,5,Delivery was fast and the food arrived hot.,Positive,2026-05-30 18:00:00,delivery fast food arrived hot
REV000144,O005844,C00790,R0299,5,Excellent experience from start to finish.,Positive,2026-04-04 21:00:00,excellent experience start finish
REV000145,O023799,C04174,R0298,5,I received the wrong item.,Negative,2026-03-27 19:00:00,received wrong item
REV000146,O034988,C02568,R0001,3,Amazing food and excellent quality.,Positive,2026-04-14 04:00:00,amazing food excellent quality
REV000147,O003706,C01884,R0131,4,Everything was perfect and well packed.,Positive,2026-01-04 13:00:00,everything perfect well packed
REV000148,O039903,C04379,R0214,5,Delivery was fast and the food arrived hot.,Positive,2026-02-17 23:00:00,delivery fast food arrived hot
REV000149,O019663,C02065,R0012,5,Great quality and very good service.,Positive,2026-03-31 00:00:00,great quality good service
REV000150,O014185,C01390,R0208,5,Amazing food and excellent quality.,Positive,2026-05-09 19:00:00,amazing food excellent quality
REV000151,O037032,C00506,R0126,3,The experience was fine.,Neutral,2026-04-17 23:00:00,experience fine
REV000152,O023253,C00436,R0104,5,Everything was perfect and well packed.,Positive,2026-02-17 17:00:00,everything perfect well packed
REV000153,O046129,C02694,R0206,5,Really tasty food with generous portions.,Positive,2026-03-30 14:00:00,really tasty food generous portion
REV000154,O016292,C01601,R0163,3,The experience was fine.,Neutral,2026-02-23 07:00:00,experience fine
REV000155,O041265,C04315,R0251,5,The food was fresh and flavorful.,Positive,2026-04-21 06:00:00,food fresh flavorful
REV000156,O026511,C01559,R0214,5,Really tasty food with generous portions.,Positive,2026-02-16 17:00:00,really tasty food generous portion
REV000157,O035783,C01451,R0108,3,Average experience.,Neutral,2026-01-15 14:00:00,average experience
REV000158,O044731,C01900,R0122,1,Very poor experience with the delivery.,Negative,2026-02-19 16:00:00,poor experience delivery
REV000159,O037335,C02898,R0190,5,Delivery was fast and the food arrived hot.,Positive,2026-06-11 22:00:00,delivery fast food arrived hot
REV000160,O037853,C00345,R0288,4,Really tasty food with generous portions.,Positive,2026-03-10 11:00:00,really tasty food generous portion
REV000161,O006961,C00791,R0293,3,The order was okay overall.,Neutral,2026-02-28 08:00:00,order okay overall
REV000162,O002814,C01577,R0032,3,Nothing special about the order.,Neutral,2026-04-04 20:00:00,nothing special order
REV000163,O038652,C04620,R0219,5,Great quality and very good service.,Positive,2026-04-10 23:00:00,great quality good service
REV000164,O043512,C00172,R0267,5,The food was fresh and flavorful.,Positive,2026-02-28 13:00:00,food fresh flavorful
REV000165,O036535,C00669,R0024,4,Excellent experience from start to finish.,Positive,2026-06-11 12:00:00,excellent experience start finish
REV000166,O007246,C03260,R0197,5,The food was fresh and flavorful.,Positive,2026-05-17 08:00:00,food fresh flavorful
REV000167,O020344,C02161,R0228,4,Great quality and very good service.,Positive,2026-02-22 20:00:00,great quality good service
REV000168,O044309,C04442,R0082,4,The order arrived quickly and everything was hot.,Positive,2026-05-03 02:00:00,order arrived quickly everything hot
REV000169,O031525,C03136,R0021,4,Everything was perfect and well packed.,Positive,2026-01-25 03:00:00,everything perfect well packed
REV000170,O022692,C00725,R0120,4,Really tasty food with generous portions.,Positive,2026-04-13 06:00:00,really tasty food generous portion
REV000171,O034891,C02903,R0284,4,Excellent experience from start to finish.,Positive,2026-01-03 20:00:00,excellent experience start finish
REV000172,O037827,C01096,R0102,5,Fast delivery and great packaging.,Positive,2026-02-01 09:00:00,fast delivery great packaging
REV000173,O041154,C00230,R0131,4,The food was fresh and flavorful.,Positive,2026-06-09 12:00:00,food fresh flavorful
REV000174,O042240,C01077,R0171,3,The food was decent.,Neutral,2026-04-12 10:00:00,food decent
REV000175,O021040,C00810,R0225,5,Fast delivery and great packaging.,Positive,2026-06-23 09:00:00,fast delivery great packaging
REV000176,O026893,C00217,R0135,4,Great quality and very good service.,Positive,2026-01-29 10:00:00,great quality good service
REV000177,O011950,C00378,R0292,5,Excellent experience from start to finish.,Positive,2026-01-25 19:00:00,excellent experience start finish
REV000178,O002243,C00066,R0204,5,The food arrived cold.,Negative,2026-05-11 14:00:00,food arrived cold
REV000179,O013417,C02938,R0173,5,The food was fresh and flavorful.,Positive,2026-03-23 09:00:00,food fresh flavorful
REV000180,O024693,C01253,R0140,4,The food was fresh and flavorful.,Positive,2026-05-05 17:00:00,food fresh flavorful
REV000181,O018508,C03734,R0055,5,Excellent experience from start to finish.,Positive,2026-03-17 01:00:00,excellent experience start finish
REV000182,O034245,C00169,R0092,1,The food was bland and disappointing.,Negative,2026-06-03 03:00:00,food bland disappointing
REV000183,O021757,C04187,R0291,4,The food was delicious and fresh.,Positive,2026-02-01 10:00:00,food delicious fresh
REV000184,O036377,C02137,R0093,4,Really tasty food with generous portions.,Positive,2026-04-15 09:00:00,really tasty food generous portion
REV000185,O039320,C02852,R0164,4,Everything was perfect and well packed.,Positive,2026-06-29 04:00:00,everything perfect well packed
REV000186,O021220,C02749,R0124,3,The food was okay.,Neutral,2026-06-26 07:00:00,food okay
REV000187,O005789,C00363,R0288,4,The food was fresh and flavorful.,Positive,2026-03-23 04:00:00,food fresh flavorful
REV000188,O048534,C04031,R0239,5,Delivery was fast and the food arrived hot.,Positive,2026-05-17 12:00:00,delivery fast food arrived hot
REV000189,O006030,C00555,R0229,4,The food was delicious and fresh.,Positive,2026-06-01 05:00:00,food delicious fresh
REV000190,O046507,C03057,R0077,5,Great quality and very good service.,Positive,2026-01-08 05:00:00,great quality good service
REV000191,O016727,C04786,R0143,5,The food was delicious and fresh.,Positive,2026-04-25 13:00:00,food delicious fresh
REV000192,O045602,C00149,R0176,5,Amazing food and excellent quality.,Positive,2026-04-18 02:00:00,amazing food excellent quality
REV000193,O028041,C04549,R0197,1,The order was delayed for a long time.,Negative,2026-04-26 06:00:00,order delayed long time
REV000194,O022268,C00018,R0164,5,Really tasty food with generous portions.,Positive,2026-05-25 18:00:00,really tasty food generous portion
